sep=;
IO Type;Instance Type;Storage Type;Redundancy;Utilization;AWS Instance Type;Rate Unit;2025 IMR;2024 IMR;2025 Public Price;2024 Public Price;2025 Discount Vs. Public price;2024 Discount Vs. Public price;IMR YoY%;Public Price YoY%;Discount Rate YoY%
;r3.2xlarge;;;On Demand;;Hrs;0.057913614;0.057913614;0.665;0.665;91.2911858647;91.2911858647;0;0;0
;trn2.3xlarge;;;On Demand;;Hrs;0.616234419;;;;;;;;
;m6i.xlarge;;;On Demand;;Hrs;0.013957278;0.017350117;0.192;0.192;92.730584375;90.9634807292;-19.5551361412;0;1.9426517451
;c5n.4xlarge;;;On Demand;;Hrs;0.048938974;0.087339868;0.864;0.864;94.3357668981;89.8912189815;-43.9671994924;0;4.9443627164
;c7gd.8xlarge;;;On Demand;;Hrs;0.108469308;0.111870191;1.4515;1.4515;92.5270886669;92.2927873924;-3.040026096;0;0.2538673727
;c6gn.xlarge;;;On Demand;;Hrs;0.012234744;0.012326895;0.1728;0.1728;92.9197083333;92.8663802083;-0.7475605171;0;0.0574245759
;r3.4xlarge;;;On Demand;;Hrs;0.115827228;0.115827229;1.33;1.33;91.2911858647;91.2911857895;-8.634e-7;0;8.24e-8
;c6id.large;;;On Demand;;Hrs;0.0064137;0.009763888;0.1008;0.1008;93.637202381;90.3136031746;-34.3120281593;0;3.6800648956
;m1.large;;;On Demand;;Hrs;0.016277308;0.016277308;0.175;0.175;90.6986811429;90.6986811429;0;0;0
;c5n.2xlarge;;;On Demand;;Hrs;0.024469487;0.043669934;0.432;0.432;94.3357668981;89.8912189815;-43.9671994924;0;4.9443627164
;r5a.32xlarge;;;On Demand;;Hrs;;0.658308194;;;;;;;
;r5b.16xlarge;;;On Demand;;Hrs;0.299395306;0.388550335;4.768;4.768;93.7207360319;91.8508738465;-22.9455545316;0;2.0357587327
;m6idn.12xlarge;;;On Demand;;Hrs;0.228429268;0.295192805;3.81888;3.81888;94.0184224694;92.2701733231;-22.6169255717;0;1.8947066894
;m7i-flex.4xlarge;;;On Demand;;Hrs;0.050246201;0.052172122;0.76608;0.76608;93.4411287333;93.1897292711;-3.6914753055;0;0.2697716413
;c6g.4xlarge;;;On Demand;;Hrs;0.04532287;0.048018327;0.544;0.544;91.6685900735;91.1731016544;-5.6133921534;0;0.5434589919
;c6a.2xlarge;;;On Demand;;Hrs;0.02626756;0.025808698;0.306;0.306;91.4158300654;91.5657849673;1.7779354852;0;-0.1637673963
;c6g.12xlarge;;;On Demand;;Hrs;0.135968611;0.144054981;1.632;1.632;91.6685900123;91.1731016544;-5.6133914592;0;0.5434589247
;r5dn.4xlarge;;;On Demand;;Hrs;0.099033899;0.112190086;1.336;1.336;92.587283009;91.6025384731;-11.7266930342;0;1.0750188284
;i4g.16xlarge;;;On Demand;;Hrs;0.544220648;0.524956145;4.94208;4.94208;88.9880243136;89.3778298813;3.6697356881;0;-0.4361322805
;c5d.large;;;On Demand;;Hrs;0.0064137;0.008515709;0.096;0.096;93.3190625;91.1294697917;-24.6838988979;0;2.402727365
;x2iezn.2xlarge;;;On Demand;;Hrs;0.096401356;0.105084022;1.668;1.668;94.2205422062;93.6999986811;-8.2625939079;0;0.555542724
;r5n.24xlarge;;;On Demand;;Hrs;0.526018843;0.616380841;7.152;7.152;92.6451504055;91.3816996504;-14.6600919414;0;1.3826080713
;c6as.32xlarge;;;On Demand;;Hrs;0.420280962;;;;;;;;
;c6in.4xlarge;;;On Demand;;Hrs;0.048938974;0.072088917;0.9072;0.9072;94.605492284;92.0536908069;-32.1130403443;0;2.772079484
